timestamp,wspd18m,wspd38m,wspd58m,wspd78m,wspd98m,wspd118m,wspd138m,wspd158m,wspd178m,wspd198m
08-12-2019 00:00,7.2923,7.6785,7.6968,7.828,7.8013,7.8933,7.8635,7.8858,7.9044,
08-12-2019 00:10,7.8613,8.033,8.0225,7.9279,7.998,7.9306,8.1698,8.1405,8.0702,8.0487
08-12-2019 00:20,7.7594,7.9883,8.018,8.1314,8.0906,8.1408,8.1291,8.0939,8.203,8.1353
08-12-2019 00:30,7.4891,7.7554,7.7973,7.9551,7.9063,7.9964,7.9652,8.0749,8.0105,8.0792
08-12-2019 00:40,7.8829,8.0248,8.1332,8.1741,7.9927,8.123,8.0443,8.1074,8.1969,8.1296
08-12-2019 00:50,7.7852,7.7606,7.9044,7.9344,8.1719,8.0166,8.0437,8.1072,8.1664,8.1489
08-12-2019 01:00,7.5331,7.7198,7.787,7.8913,7.8692,7.8595,7.9171,8.0021,7.9482,8.0894
08-12-2019 01:10,7.4234,7.7995,7.8219,7.8591,7.8392,7.8724,7.8527,7.8505,7.9612,7.9401
08-12-2019 01:20,7.6957,8.0307,8.0659,8.0851,8.1085,8.0248,8.149,8.2051,8.2243,8.1977
08-12-2019 01:30,7.5245,7.7031,7.9128,8.072,8.0163,8.0144,8.0993,8.0728,8.1875,8.2697
08-12-2019 01:40,7.6633,7.9383,8.0393,8.1268,8.1911,8.2213,8.2898,8.3435,8.3243,8.4053
08-12-2019 01:50,7.6874,7.7821,7.8518,7.9671,7.9032,7.9671,7.9469,7.9419,7.9714,8.0819
08-12-2019 02:00,7.7968,7.9505,8.01,8.0164,8.0658,8.1629,8.1356,8.1928,8.2682,8.3496
08-12-2019 02:10,7.6809,7.9268,8.085,8.0637,8.0896,7.9999,8.0402,8.0493,8.1435,8.1034
08-12-2019 02:20,7.4845,7.5099,7.7084,7.8273,7.8832,7.9086,8.0198,8.0321,8.2115,8.1984
08-12-2019 02:30,7.6359,7.6752,7.7503,7.7621,7.8014,7.8929,7.863,8.0024,8.0031,8.1867
08-12-2019 02:40,7.3398,7.4952,7.635,7.724,7.8368,7.9349,8.1088,8.0826,8.2366,8.3319
08-12-2019 02:50,7.2111,7.4271,7.592,7.534,7.6163,7.7246,7.7369,7.9382,7.9528,8.0177
08-12-2019 03:00,7.5362,7.4895,7.6748,7.6249,7.6092,7.621,7.7241,7.7532,7.8021,7.8333
08-12-2019 03:10,7.0301,7.2459,7.4559,7.4429,7.5221,7.5013,7.4084,7.4876,7.5766,7.5626
08-12-2019 03:20,7.0827,7.1664,7.168,7.2605,7.349,7.3269,7.343,7.3944,7.2722,7.3654
08-12-2019 03:30,6.851,6.9877,7.0191,7.1052,7.0846,7.1245,7.1783,7.0785,7.0897,7.0229
08-12-2019 03:40,6.2455,6.3375,6.5009,6.5182,6.5415,6.5335,6.641,6.6423,6.6092,6.598
08-12-2019 03:50,6.1064,6.1456,6.1968,6.2073,6.2568,6.2728,6.2822,6.302,6.271,6.2739
08-12-2019 04:00,5.7576,5.7411,5.8154,5.8191,5.8111,5.7476,5.7221,5.7297,5.7963,5.755
08-12-2019 04:10,5.4579,5.5515,5.5609,5.5991,5.5966,5.6347,5.5845,5.6095,5.6456,5.6826
08-12-2019 04:20,5.2151,5.2377,5.2831,5.2767,5.315,5.2672,5.2993,5.291,5.3586,5.286
08-12-2019 04:30,4.7847,4.9873,4.9953,5.0271,5.089,5.1112,5.162,5.1575,5.167,5.2086
08-12-2019 04:40,4.9154,4.9675,4.9362,4.9811,4.8959,4.9704,4.987,4.9347,4.9248,4.9744
08-12-2019 04:50,4.7354,4.8199,4.7969,4.8152,4.8166,4.7871,4.8364,4.7903,4.8246,4.8373
08-12-2019 05:00,4.4318,4.5508,4.6284,4.5933,4.5552,4.5384,4.5082,4.5811,4.5625,4.5177
08-12-2019 05:10,4.5863,4.7155,4.7304,4.7601,4.7406,4.7328,4.6874,4.713,4.6392,4.6673
